sentence,class
 The customer receives his order  ,Relevant
 the customer pays his bill  ,Relevant
 the accounting department receives the payment and archives it  ,Relevant
End of the process ,Relevant
The following description is about public procurement  for high budgets  in the Belgian public sector,Irrelevant
 The process starts when a department of a public entity sends a request for supplies  a service or construction work,Relevant
 The public entity analyses the request and determines the department s needs,Relevant
 Then  the public entity creates a description of the need,Relevant
 After that  a budget is estimated  here  we only consider the case where the budget estimated is high ,Relevant
 Then  the appropriate legal procedure of public procurement is chosen,Relevant
 After that  the public entity establishes the Contractual Requirements  chooses an official date for the opening of the public procurement and publishes a public procurement notice,Relevant
 When it is the official date  the public entity starts the public procurement procedure,Relevant
 The public entity analyses the offers from different suppliers,Relevant
 Then  the public entity chooses only one supplier,Relevant
 After that  the public entity writes a procurement contract notice  notifies the supplier chosen and writes a public procurement contract,Relevant
 The supplier delivers the supplies or service or carries out the construction work,Relevant
 Once this is done  the public entity verifies that everything is in order,Relevant
 If everything is in order  the supplier sends a bill to the public entity,Relevant
 If something is not in order  the supplier is notified,Relevant
 Then  the supplier fixes the problem,Relevant
 When the problem is fixed  the supplier sends a bill to the public entity,Relevant
 The public entity verifies if the bill is correct,Relevant
 If the bill is correct  the public entity makes the payment to the supplier and the public procurement contract ends,Relevant
 If the bill is incorrect  the public entity notifies the supplier,Relevant
 The supplier corrects the mistakes and sends a new bill,Relevant
 Then  the public entity makes a payment to the supplier and the public procurement contract ends,Relevant
The following description s about how the Belgian Justice system makes the decision to investigate or not on a death,Irrelevant
 The process starts when a cadaver is found somewhere,Relevant
 A forensic doctor determines if the death is suspect or not,Relevant
 If the death is not suspect  a certificate of death is emitted  and funerals can be organised normally,Relevant
 If the death is suspect  a complementary analysis is done to determine if someone is involved in the death or not,Relevant
 If no one is involved in the death  then the death is due to natural causes or suicide,Relevant
 If the death is due to natural causes  a certificate of death is emitted  and funerals can be organised normally,Relevant
 If the death is due to a suicide  a small investigation takes place to confirm the suicide,Relevant
 If the suicide is confirmed  then a certificate of death is emitted  and funerals can be organised normally,Relevant
 If funerals can be organised normally  then the process ends,Relevant
 If the suicide is not confirmed  then someone is involved in the death,Relevant
 If someone is involved in the death  then a full police investigation is started,Relevant
 If the author is known  a magistrate decides if the Local Police or the Federal Judicial Police conducts the investigation,Relevant
 Then  the investigators determine the causes and circumstances of death,Relevant
 If the author is unknown  the Federal Judicial Police conducts the investigation,Relevant
 If the author can be identified  then the investigators determine the causes and circumstances of death,Relevant
 If the author cannot be identified  then the investigators make complementary research,Relevant
 The research could be international or not,Irrelevant
 After the complementary research  if the author is identified  then the investigators determine the causes and circumstances of death,Relevant
 If the author is not identified  then the murder becomes a  cold case ,Relevant
 After determining the causes and circumstances of death  the investigation ends,Relevant
 Once the investigation is over  Judicial decisions concerning the author of the murder have to be made,Relevant
All begins when the customer calls Ethias Assistance  the leading insurer in belgium  at 04 220 30 40,Relevant
 There  the insurance company identifies that the customer is not insured because they checked in their database that the customer was not registered,Relevant
 So the insurance proposes to the customer two solutions,Relevant
 Either the customer decides to do nothing so by this decision the process stops or the customer accept the sending of an SMS offering a paying service so by this decision the process continues,Relevant
 Just after that  the customer receives the sms and the customer clicks on the link in the sms and is sent to a platform   To access your troubleshooting solution  click here www assistanondemand com ,Relevant
 On this platform  the customer enters his email address and creates his account,Relevant
 While he creates his account  the customer encodes the data allowing the troubleshooting with the place and time of intervention desired,Relevant
 For example   Rue de Londres  7  4000 Liège at 17h32 ,Irrelevant
  Then  he encodes his personal information and there will be a summary of the order  including the price proposal ,Relevant
  At the end  it will be a secure online payment and there will be a confirmation of the order,Relevant
 The customer will receive the receipt of the details of the breakdown mechanic  his time of arrival and the delivery location of the vehicle to be repaired,Relevant
The process finishes when breakdown service arrives,Relevant
In the subscription process  there are several steps,Irrelevant
 The customer will first see the website Flora and two options is offered to him,Relevant
 Either  the customer is already insured with ethias so he can click on  calculate my price in 10sec  or he isn t insured with Ethias so he can click on  already insured elsewhere? ,Relevant
 If he is insured elsewhere  Flora will give him also the option of  calculate my price in 10 sec ,Relevant
 In other words  they will be both directed to the same buttom  calculate my price in 10sec ,Relevant
 After that  Flora is going to ask the customer for which type of housing they want to be insured  on which floor there are situated  ground floor or 1st floor or more   what is his adresse and how much is his actual rent,Relevant
 It s only after this step that the customer can decide whether he takes the insurance or not,Relevant
 If he decides not to take it  then he doesn t have to subscribe and the process stops,Relevant
 If the customer decides to take the insurance  the process continues,Relevant
 If he continues  the customer will obtain a communication of the price  the summary of the coverage and the recommended option,Relevant
 Just after that  he will have a confirmation of wishes,Relevant
 He will then have to enter his contact details  surname  first name  date of birth  telephone  email  password  and there he will be able to connect to the App,Relevant
 Flora wil ask him other questions such as  are you already in your house?    are you already insurd for this adress?  If yes  the customer will be asked if he wants to change insurer  prodcedure to change ,Relevant
 If no  he continues the process as normal,Relevant
 At the end  the customer will have to choose his payment method,Relevant
 It is a secure payment,Irrelevant
 He will receive a payment confirmation and the summary of the price and guarantees,Relevant
 Everything is done digitally  signature  payment  sending of the general conditions,Irrelevant
Customer looks in its fridge for what s missing  usually food ,Relevant
Customer thinks about what he wants to eat,Relevant
Customer thinks about what his family wants to eat,Relevant
Customer makes a list of what he has to buy,Relevant
Customer leaves his house and takes his car to go to the shop,Relevant
Customer can go to the shop of his choice  Spar or Delhaize,Irrelevant
Customer parks his car in the car park,Relevant
Customer put a mask and gets out of his car,Relevant
Customer takes a caddy,Relevant
Customer disinfects his hands and his caddy,Relevant
Customer can use his own disinfectant or shop s disinfectant,Irrelevant
Customer puts the ingredients on the caddy,Relevant
Customer goes to the cash register when he has finished his shopping,Relevant
Customer can go to the self scan or near the cashier,Irrelevant
Customer scans his shopping or cashier scans the shopping,Relevant
Customer pays,Relevant
Customer can pay by cash or card,Irrelevant
 Preferable by card because of Covid 19 ,Irrelevant
Customer receives the ticket,Relevant
Customer puts his groceries in his car,Relevant
Customer disinfects his hands and removes his mask,Relevant
Customer goes to his house,Relevant
Customer puts away his groceries,Relevant
Customer can store the groceries in the fridge or cupboards,Irrelevant
Customer disinfects his hands again and the process is finished,Relevant
Student thinks about a thesis subject,Relevant
Student chooses a subject,Relevant
Student sends an email to the teacher he chooses to follow him,Relevant
Student can use his own email address or school s email address,Irrelevant
Teacher answers   Positively or not,Relevant
If it s not positive  student sends emails to other teachers until receiving a positive answer,Relevant
When he has a positive response  he chooses the correct thesis with this promotor,Relevant
Student submits his thesis on MyThin,Relevant
Student begins to redact his thesis with the literary review,Relevant
Student can use scientific or managerial articles,Irrelevant
Student writes the questionnaires,Relevant
Student can use quantitative or qualitative way for the research,Irrelevant
Student questions his sample ,Relevant
Student writes his practical side,Relevant
Student concludes his work,Relevant
Student has his work reread,Relevant
Student corrects his thesis,Relevant
Student deposits his thesis on MathéO and the process is finished,Relevant
The process starts when a customer arrive in front of the desk of the desk info at MEDIACITE,Relevant
The employee is notified that there is a client  thanks to a weak audible signal which is not too loud,Relevant
The customer asks a question about the location of something or someone,Relevant
The employee checks his database,Relevant
The employee give an answer and propose the customer a map of the shop,Relevant
The maps are a useful tool to have every information the customers need,Irrelevant
The client accepts the map or not,Relevant
The employee informs the customer that he she can also contact them by e mail or telephone,Relevant
The employee then invites the customer to leave through the door on the left,Relevant
The process is finished,Relevant
The process starts by blocking a date for an evening,Relevant
 The communication team takes care of posting everything on social networks in order to bring in people,Relevant
 The ICO SPORT is the best ICO at HEC,Irrelevant
 The people in charge of this event find the suppliers and place orders in advance,Relevant
 The other members go shopping for what might be missing,Relevant
 Some members have a car which is more convenient for shopping,Irrelevant
 On the day of the party  the leaders have to set up everything,Relevant
 A few hours before the party starts  the members check that all the equipment is working,Relevant
 The students arrive at the event and are welcomed by the members,Relevant
 Members make sure everything runs smoothly and serve the students,Relevant
 At the agreed time  the members announce the end of the evening and dismiss the students,Relevant
 Some students always want to stay longer,Irrelevant
 ICO members tidy up the room and make sure everything is clean,Relevant
 Process over,Relevant
 Deliveroo is an online food delivery company  ,Irrelevant
 The process starts when the customer opens the app website  ,Relevant
 The customer chooses a restaurant and his food order  ,Relevant
 For example  cashew chicken in a Chinese restaurant  ,Irrelevant
 The customer makes an order and pays the restaurant from the app  ,Relevant
 The order is saved when the payment is received  ,Relevant
 Meanwhile  the restaurant is notified that an order was made  ,Relevant
 The restaurant is preparing the order  ,Relevant
 Meanwhile  delivery man is notified about the delivery order ,Relevant
  He supports the command when the food is finish  ,Relevant
 Delivery man have means of transporting the food ,Irrelevant
then the client is waiting for the delivery   ,Relevant
 the delivery man supplies with his order,Relevant
 the customer takes the order and the delivery man go away  ,Relevant
The process is finished ,Relevant
 Netflix is an American over the top content platform ,Irrelevant
  The process starts when the customer opens the app website  ,Relevant
  The customer creates a Netflix account  ,Relevant
 The customer chooses his offer  ,Relevant
 For example  a subscription for 12 months  ,Irrelevant
 The customer pays  ,Relevant
 Meanwhile Netflix is notified that a new customer creates an account  ,Relevant
 Netflix send an email with information about the offer and the invoice  ,Relevant
 The client opens the email and go to watch a movie  ,Relevant
 The platform contains a lot of content to satisfy the client   ,Irrelevant
 The process is finished when the customer closes the app ,Relevant
The customer calls the bar to make an order,Relevant
The worker estimates the time needed to prepare the order and communicate it to the client,Relevant
The worker notes the order on a sheet of paper,Relevant
The chef takes the appropriate number of pans   1 per order,Relevant
The chef put the appropriate ingredients in the pans,Relevant
To make it easier  most recipes differ only by one or two ingredients,Irrelevant
The chef put the pre prepared pasta in the pans with the ingredients,Relevant
He can use either pennes  linguinis or raviolis,Irrelevant
The chef puts the preparation in aluminium boxes,Relevant
the client comes in to take the order,Relevant
The client pays,Relevant
The worker waits for an incoming call,Relevant
 If the call is in French  the exchange begins,Relevant
If the call is in Dutch  the worker directly transfers the client,Relevant
Sometimes  the calls are Dutch ones because someone has wrongly identified the client as French speaking in the database,Irrelevant
The worker greets the client and asks for the motive of the call,Relevant
The client tells what the problem is,Relevant
The worker asks for the client number,Relevant
If the client does not know where to find the number  the worker asks the client to spell its last name,Relevant
The worker writes either the number or the name in the program to find the client profile,Relevant
The worker tries to find the problem on the profile  invoice not received  invoice not paid  too high monthly payment   ,Relevant
The worker provides the possible solutions to the client,Relevant
Either the client agrees  and the worker corrects the problem  or the client disagree  and the worker transfers the client to the superior,Relevant
 A publishing process is recurrent in companies that publish books  newspapers  magazines and digital content,Irrelevant
 The process starts when the content writer takes up   finishes the first draft of an article,Relevant
 This draft includes descriptions of any custom images that are to be used in the article,Irrelevant
 Next  the content writer informs the marketer  editor and designer about the draft,Relevant
 The marketer gathers influencer contact information  which will be used for advertising once the article is finished,Relevant
 The draft will be sent to the editor  who proof reads the article and makes points on grammar  style  spelling  etc,Relevant
 Proof reading includes for example the checking of tenses in use,Irrelevant
 After the proof reading  the designer starts creating the custom images as asked  in Step 1  and sends them over again to the content writer,Relevant
 Next  the content writer takes the comments of the editor into consideration  fixes any mistakes and adds the images of the designer to the article,Relevant
 After this  the content writer sends the article to the SEO expert  who makes sure that the article meets the right optimization best practices and then publishes the article,Relevant
 The process ends after the marketer used a combination of advertising and email outreach to make sure that the article is read,Relevant
When an intervention request is made by a customer  the service manager designates a technician to carry out the intervention,Relevant
 The technician  who performs the intervention  encodes his services on his service sheet  based on the intervention sheet ,Relevant
 The intervention sheet allows the technician to enter the number of hours he works,Relevant
 The technician must send the service sheet to the service manager,Relevant
 The technician starts the intervention on the customer s machine,Relevant
 If  during the intervention  additional pieces of equipment are required  the technician sends the list of required equipment to the service manager,Relevant
 Otherwise  the technician continues the intervention and completes it,Relevant
 The service manager receives the technician s request,Relevant
 The service manager enters the required additional parts into a software program,Relevant
 The service manager picks up the necessary additional parts from the warehouse,Relevant
 The service manager sends the necessary additional parts to the technician,Relevant
